product_id,category,name,collection,description,materials,price_usd,cost_usd,gemstones,craftsmanship,story,care_instructions
ECL001,Necklace,Unity Chain Necklace,Eclipse,Architectural chain necklace with fluid links that can be worn at multiple lengths from choker to long pendant,Sterling silver with 18K gold accents and oxidized finish,11500,3680.0,Optional: modular pendant attachment points no fixed gemstones,Hand-forged individual links with contrasting metal finish and adjustable clasp system,Unity in diversity. Each link is unique yet connected - representing the spectrum of identity. Designed without gender assumptions. Wears differently on every body and that's the beauty. Length adapts to your expression.,Durable for daily wear. Silver will naturally patina - embrace it or polish. Gold accents require minimal care.
ECL002,Cuff,Fluid Form Cuff,Eclipse,Wide sculptural cuff with organic flowing lines that seem to move and shift perspective,18K white gold with matte and polished contrasting sections,14800,4736.0,None - pure metal sculpture,Lost-wax casting with hand-finished surface textures and contrasting polish levels,Form without fixed definition. The curves shift depending on viewing angle - never the same twice. Celebrates fluidity and the beauty of constant evolution. Fits various wrist sizes through organic shape.,Comfortable for extended wear. Adjustable within range. Clean with jewelry cloth to maintain contrast between finishes.
ECL003,Pendant,Identity Medallion Pendant,Eclipse,Minimalist double-sided medallion that can be engraved or left blank - a canvas for self-definition,18K yellow gold with sandblasted texture on one side and mirror polish on reverse,6800,2176.0,Optional: small diamond accent point (0.1ct),Double-sided construction with rotating bail and optional custom engraving service,Your identity is yours to define - or to leave undefined. One side textured (complexity) one side mirror (reflection). Engrave it with your truth or leave it blank as a statement. Comes with 24-inch adjustable chain in matching gold.,Durable medallion design. Engraving is permanent - choose mindfully. Chain should be checked periodically for wear.
ECL004,Ring,Threshold Ring,Eclipse,Architectural ring with negative space creating an open geometric frame - substantial but light,Blackened sterling silver with 18K gold interior,7200,2304.0,None - emphasis on form and negative space,Hand-fabricated with contrasting metal treatment and comfort-fit interior,The space between definitions. Solid frame with open center - strong boundaries around unlimited interior space. Gold inside represents inner light. Dark exterior is protection. Space is possibility.,Blackened finish will show wear patterns uniquely - this is intentional. Gold interior stays bright. Substantial but comfortable weight.
ECL005,Necklace,Continuum Collar,Eclipse,Sleek collar necklace with continuous flowing form and hidden clasp - appears as unbroken circle,18K white gold with seamless construction,18900,6048.0,Linear diamond detail (1.8ct) along top edge pavé setting,Seamless fabrication technique with invisible clasp and flexible construction,No beginning no end no break in the circle. The continuum of identity and expression. Substantial presence that reads sophisticated and powerful on any neck. Diamond line traces the path forward.,Comfortable for extended wear despite substantial look. Hidden clasp is secure. Professional cleaning preserves diamond brilliance.
ECL006,Pendant,Alchemy Symbol Pendant,Eclipse,Abstract alchemical symbol pendant combining geometric and organic elements in balanced tension,18K rose gold with oxidized details,8400,2688.0,Central moonstone (2ct) representing transformation,Hand-fabricated with traditional goldsmith techniques and modern geometric precision,Alchemy: the transformation of self into truest form. Ancient symbol reimagined. Moonstone chosen for its gender-neutral energy and light-shifting properties. Balance of masculine geometry and feminine curves - or neither or both.,Moonstone is relatively soft - avoid impacts. Oxidized details will naturally evolve. Chain included in matching rose gold.
ECL007,Ring,Möbius Infinity Ring,Eclipse,Geometric ring in Möbius strip form - an infinite loop with only one continuous surface that twists back on itself,18K white gold with half polished half matte finish,9200,2944.0,Optional: single diamond at twist point (0.15ct),Precision-engineered Möbius topology with contrasting surface treatments and seamless construction,Infinity without beginning or end. The mathematical impossible made wearable. One continuous surface that defies conventional geometry - like identity that refuses binary definition. The twist represents transformation that never stops.,Möbius form is durable despite appearing delicate. Contrasting finishes require gentle cleaning with jewelry cloth. Professional inspection recommended to maintain seamless twist.
ECL008,Ring,Binary Identity Ring,Eclipse,Modern band ring with binary code pattern engraved around circumference - customize with your own code or leave as abstract pattern,Black titanium with 18K white gold inlays,8400,2688.0,None - emphasis on code pattern and mixed metals,Laser-engraved binary pattern with precision gold inlay technique and customizable code option,Write your own code. Binary (0 and 1) represents choice and definition in digital age. Each person can encode their truth or leave it abstract. Tech meets humanity. Identity as algorithm you control.,Titanium is hypoallergenic and extremely durable. Gold inlay requires no special care. Binary engraving is permanent. Can be customized at time of order.
ECL009,Earrings,Satellite Orbit Earrings,Eclipse,Kinetic earrings with central moonstone sphere that rotates freely within platinum orbital ring - moves with your movement,Platinum orbital ring with titanium axis,16800,5376.0,Moonstone spheres (3ct each) rotating within rings,Precision-engineered kinetic mechanism with frictionless rotation and balanced weight distribution,Identity in perpetual motion. The moonstone orbits freely - never fixed never static. Each movement creates new orientation. Represents the fluidity of self and rejection of fixed positions. You are always becoming.,Kinetic mechanism is sealed and maintenance-free. Moonstone may show natural inclusions. Avoid dropping - mechanism is precise. Professional check every 2 years.
ECL010,Earrings,Gravity Defying Hoops,Eclipse,Architectural hoops that appear to float around ear with no visible contact point using hidden magnetic suspension,Ultra-lightweight titanium with 18K white gold magnetic core,14500,4640.0,None - pure geometric sculpture and engineering,Hidden neodymium magnet technology with ultra-precise weight balance and anti-gravity aesthetic,Defying constraints. Floats impossibly around your ear - freedom from the expected. Magnetic suspension represents invisible forces that hold us. Light enough to forget you're wearing them. Liberation made visible.,Keep away from strong magnetic fields and electronic devices. Magnets are permanently sealed. Extremely lightweight - may feel like nothing. Remove before MRI. Clean titanium with soft cloth.
